Date,adjusted_close,volume,direction,direction2,Symbol,volatility
2007-01-03,1.935,12405100,0,0,AMZN,0.0
2007-01-04,1.945,6318400,1,0,AMZN,0.0
2007-01-05,1.9185,6619700,0,0,AMZN,0.0
2007-01-08,1.875,6783000,0,0,AMZN,0.0
2007-01-09,1.889,5703000,1,0,AMZN,0.0
2007-01-10,1.8575,6527500,0,0,AMZN,0.0
2007-01-11,1.87,6465600,1,1,AMZN,0.0
2007-01-12,1.91,4466400,1,1,AMZN,0.0
2007-01-16,1.933,5643700,1,0,AMZN,0.0
2007-01-17,1.894,5026800,0,0,AMZN,0.0
2007-01-18,1.849,9105000,0,1,AMZN,0.0
2007-01-19,1.851,6095900,1,1,AMZN,0.0
2007-01-22,1.8475,8317000,0,1,AMZN,0.0
2007-01-23,1.8215,5313600,0,1,AMZN,0.0
2007-01-24,1.863,5271700,1,1,AMZN,0.0
2007-01-25,1.854,6747600,0,1,AMZN,0.0
2007-01-26,1.8425,4139300,0,1,AMZN,0.0
2007-01-29,1.8715,7395000,1,1,AMZN,0.0
2007-01-30,1.8525,4813500,0,1,AMZN,0.0
2007-01-31,1.8835,7277500,1,1,AMZN,0.0
2007-02-01,1.935,26123100,1,1,AMZN,0.0
2007-02-02,1.8695,25850700,0,1,AMZN,0.0
2007-02-05,1.858,6110900,0,1,AMZN,0.0
2007-02-06,1.9135,8612700,1,1,AMZN,0.0
2007-02-07,1.949,10503200,1,1,AMZN,0.0
2007-02-08,1.955,5483600,1,1,AMZN,0.0
2007-02-09,1.936,5960100,0,0,AMZN,0.0
2007-02-12,1.9425,3835700,1,0,AMZN,0.0
2007-02-13,1.9655,4505500,1,0,AMZN,0.0
2007-02-14,2.007,6814100,1,0,AMZN,0.0
2007-02-15,2.003,5088200,0,0,AMZN,0.0
2007-02-16,2.0165,4679000,1,0,AMZN,0.0
2007-02-20,2.0755,8903400,1,0,AMZN,0.0
2007-02-21,2.063,4508400,0,0,AMZN,0.0
2007-02-22,2.05,4926100,0,0,AMZN,0.0
2007-02-23,2.039,5497400,0,0,AMZN,0.0
2007-02-26,2.043995,4035200,1,0,AMZN,0.0
2007-02-27,1.9415,8850700,0,0,AMZN,0.0
2007-02-28,1.957,7687400,1,0,AMZN,0.0
2007-03-01,1.9425,9255800,0,0,AMZN,0.0
2007-03-02,1.8845,7787800,0,1,AMZN,0.0
2007-03-05,1.8525,9565600,0,1,AMZN,0.0
2007-03-06,1.929,12848200,1,1,AMZN,0.0
2007-03-07,1.918,8644600,0,1,AMZN,0.0
2007-03-08,1.905,7629300,0,1,AMZN,0.0
2007-03-09,1.942,6200100,1,1,AMZN,0.0
2007-03-12,1.9405,4879000,0,1,AMZN,0.0
2007-03-13,1.891,5204100,0,1,AMZN,0.0
2007-03-14,1.904,8591100,1,1,AMZN,0.0
2007-03-15,1.889,7265700,0,1,AMZN,0.0
2007-03-16,1.8925,6865500,1,1,AMZN,0.0
2007-03-19,1.9225,4226600,1,1,AMZN,0.0
2007-03-20,1.929,3801300,1,1,AMZN,0.0
2007-03-21,1.99,4996400,1,1,AMZN,0.0
2007-03-22,1.9745,5331500,0,1,AMZN,0.0
2007-03-23,1.949,2941500,0,1,AMZN,0.0
2007-03-26,1.9505,3521100,1,1,AMZN,0.0
2007-03-27,1.9685,3993600,1,1,AMZN,0.0
2007-03-28,1.967,6202200,0,1,AMZN,0.0
2007-03-29,1.9905,6405200,1,1,AMZN,0.0
2007-03-30,1.9895,5996900,0,1,AMZN,0.0
2007-04-02,2.021,7091300,1,1,AMZN,0.0
2007-04-03,2.0595,5968200,1,1,AMZN,0.0
2007-04-04,2.0765,4064700,1,1,AMZN,0.0
2007-04-05,2.084,3288400,1,1,AMZN,0.0
2007-04-09,2.083,4182700,0,1,AMZN,0.0
2007-04-10,2.093,3421800,1,1,AMZN,0.0
2007-04-11,2.084,5078400,0,1,AMZN,0.0
2007-04-12,2.1135,4754500,1,1,AMZN,0.0
2007-04-13,2.1205,3610000,1,1,AMZN,0.0
2007-04-16,2.26,13444000,1,1,AMZN,0.0
2007-04-17,2.2535,7398900,0,1,AMZN,0.0
2007-04-18,2.2495,4996400,0,1,AMZN,0.0
2007-04-19,2.232,4809700,0,1,AMZN,0.0
2007-04-20,2.2475,5980500,1,1,AMZN,0.0
2007-04-23,2.2385,7088600,0,1,AMZN,0.0
2007-04-24,2.2375,19887600,0,1,AMZN,0.0
2007-04-25,2.8405,104329200,1,1,AMZN,0.0
2007-04-26,3.14,31515253,1,1,AMZN,0.0
2007-04-27,3.13005,50733400,0,1,AMZN,0.0
2007-04-30,3.0665,23979200,0,0,AMZN,0.0
2007-05-01,3.05925,18519000,0,1,AMZN,0.0
2007-05-02,3.059,14427200,0,1,AMZN,0.0
2007-05-03,3.1095,13482000,1,1,AMZN,0.0
2007-05-04,3.1615,14299300,1,1,AMZN,0.0
2007-05-07,3.041,14808300,0,1,AMZN,0.0
2007-05-08,3.0915,13551100,1,1,AMZN,0.0
2007-05-09,3.1425,8874900,1,1,AMZN,0.0
2007-05-10,3.046,10052000,0,1,AMZN,0.0
2007-05-11,3.078,7919100,1,1,AMZN,0.0
2007-05-14,3.085,7760400,1,1,AMZN,0.0
2007-05-15,3.029,8702100,0,1,AMZN,0.0
2007-05-16,3.161,14485400,1,1,AMZN,0.0
2007-05-17,3.1085,11870900,0,1,AMZN,0.0
2007-05-18,3.165,9799200,1,1,AMZN,0.0
2007-05-21,3.415,36468800,1,1,AMZN,0.0
2007-05-22,3.444,17211300,1,1,AMZN,0.0
2007-05-23,3.45,42582500,1,1,AMZN,0.0
2007-05-24,3.4675,23824600,1,1,AMZN,0.0
2007-05-25,3.4275,9987200,0,1,AMZN,0.0
2007-05-29,3.4815,11730800,1,1,AMZN,0.0
2007-05-30,3.493,10576100,1,1,AMZN,0.0
2007-05-31,3.457,9310200,0,0,AMZN,0.0
